DATE,CPILFESL_NBD20090601
2009-01-01,99.19402
2009-02-01,99.39757
2009-03-01,99.60796
2009-04-01,99.81471
2009-05-01,99.90507
2009-06-01,100.00000
2009-07-01,100.06891
2009-08-01,100.17525
2009-09-01,100.36876
2009-10-01,100.63392
2009-11-01,100.70923
2009-12-01,100.80735
2010-01-01,100.69417
2010-02-01,100.73889
2010-03-01,100.76262
2010-04-01,100.78042
2010-05-01,100.84432
2010-06-01,100.95020
2010-07-01,101.02733
2010-08-01,101.09396
2010-09-01,101.18615
2010-10-01,101.24046
2010-11-01,101.38605
2010-12-01,101.47459
2011-01-01,101.68453
2011-02-01,101.87165
2011-03-01,101.98163
2011-04-01,102.10623
2011-05-01,102.31069
2011-06-01,102.54892
2011-07-01,102.78670
2011-08-01,103.08062
2011-09-01,103.19745
2011-10-01,103.37453
2011-11-01,103.55389
2011-12-01,103.78482
2012-01-01,104.00024
2012-02-01,104.07189
2012-03-01,104.27453
2012-04-01,104.46940
2012-05-01,104.61499
2012-06-01,104.79709
2012-07-01,104.95546
2012-08-01,105.07549
2012-09-01,105.26991
2012-10-01,105.43649
2012-11-01,105.57614
2012-12-01,105.75642
2013-01-01,105.98644
2013-02-01,106.14161
2013-03-01,106.24430
2013-04-01,106.26164
2013-05-01,106.33649
2013-06-01,106.49805
2013-07-01,106.73993
2013-08-01,106.94804
2013-09-01,107.11417
2013-10-01,107.21503
2013-11-01,107.41493
2013-12-01,107.59748
2014-01-01,107.68967
2014-02-01,107.79191
2014-03-01,107.99272
2014-04-01,108.19672
2014-05-01,108.40529
2014-06-01,108.54586
2014-07-01,108.70924
2014-08-01,108.80509
2014-09-01,108.97897
2014-10-01,109.16381
2014-11-01,109.28566
2014-12-01,109.34317
2015-01-01,109.44677
2015-02-01,109.61152
2015-03-01,109.87760
2015-04-01,110.14732
2015-05-01,110.30341
2015-06-01,110.47501
2015-07-01,110.70366
2015-08-01,110.81867
2015-09-01,111.04641
2015-10-01,111.25269
2015-11-01,111.46856
2015-12-01,111.60822
2016-01-01,111.84919
2016-02-01,112.10888
2016-03-01,112.25492
2016-04-01,112.48448
2016-05-01,112.74417
2016-06-01,112.92627
2016-07-01,113.08874
2016-08-01,113.35344
2016-09-01,113.50770
2016-10-01,113.67155
2016-11-01,113.86962
2016-12-01,114.07819
2017-01-01,114.33377
2017-02-01,114.54735
2017-03-01,114.50491
2017-04-01,114.61216
2017-05-01,114.72306
2017-06-01,114.87915
2017-07-01,115.01378
2017-08-01,115.26617
2017-09-01,115.41495
2017-10-01,115.70977
2017-11-01,115.85627
2017-12-01,116.09588
2018-01-01,116.42722
2018-02-01,116.63898
2018-03-01,116.86945
2018-04-01,117.05749
2018-05-01,117.31763
2018-06-01,117.48421
2018-07-01,117.70328
2018-08-01,117.77767
2018-09-01,118.02457
2018-10-01,118.20119
2018-11-01,118.42711
2018-12-01,118.65439
2019-01-01,118.91909
2019-02-01,119.07061
2019-03-01,119.26184
2019-04-01,119.49825
2019-05-01,119.66437
2019-06-01,119.99571
2019-07-01,120.29784
2019-08-01,120.56848
2019-09-01,120.79758
2019-10-01,120.93678
2019-11-01,121.17136
2019-12-01,121.32243
2020-01-01,121.61634
2020-02-01,121.88744
2020-03-01,121.76193
2020-04-01,121.21700
2020-05-01,121.14398
2020-06-01,121.42877
2020-07-01,122.18181
2020-08-01,122.65280
2020-09-01,122.88875
2020-10-01,122.90336
2020-11-01,123.17308
